date,pm10,hour,T,P,wind,hum,traffic
19/08/2017 16:00,5.07,16,22.45,969.32,2.6,52,431.4285714
19/08/2017 17:00,5.4,17,22.28,969.42,2.99,50,425.7142857
19/08/2017 18:00,5.92,18,21.7,969.85,2.59,48,364
19/08/2017 19:00,6.12,19,20.69,970.32,1.97,48,248.2857143
19/08/2017 20:00,6.56,20,19.65,971.09,1.6,48,174.2857143
19/08/2017 21:00,6.55,21,19.17,971.82,1.46,59,159.1428571
19/08/2017 22:00,7.47,22,18.56,972.26,1.15,55,179.1428571
19/08/2017 23:00,7.67,23,17.85,972.35,0.8,61,184.8571429
20/08/2017 00:00,7.96,0,16.97,972.19,0.95,66,136.5714286
20/08/2017 01:00,6.94,1,16.8,972.19,0.64,65,91.14285714
20/08/2017 02:00,7.78,2,15.92,972.22,0.71,69,61.14285714
20/08/2017 03:00,7.33,3,15.88,972.56,1.35,76,42.85714286
20/08/2017 04:00,6.82,4,15.19,972.74,0.81,79,36.85714286
20/08/2017 05:00,7.04,5,15.14,972.89,0.44,73,30.57142857
20/08/2017 06:00,6.76,6,15.42,973.18,0.8,79,46.57142857
20/08/2017 07:00,7.98,7,15.66,973.52,2.49,80,60.57142857
20/08/2017 08:00,8.37,8,16.04,973.75,1.98,71,112.8571429
20/08/2017 09:00,6.99,9,17.3,973.93,0.78,69,184
20/08/2017 10:00,6.66,10,18.55,974.05,0.3,66,232
20/08/2017 11:00,5.99,11,19.32,973.78,0.45,60,288.5714286
20/08/2017 12:00,4.95,12,20.81,973.48,0.83,56,309.4285714
20/08/2017 13:00,4.89,13,21.75,973.19,0.74,53,336
20/08/2017 14:00,4.55,14,21.92,973.14,1.49,42,349.4285714
20/08/2017 15:00,4.92,15,21.59,973.18,1.63,40,356.2857143
20/08/2017 16:00,4.95,16,22.23,973.17,1.66,43,386.5714286
20/08/2017 17:00,4.71,17,21.97,973.09,1.99,40,386.8571429
20/08/2017 18:00,3.87,18,21.65,973.05,1.22,38,341.4285714
20/08/2017 19:00,4.81,19,20.8,973.41,0.73,40,263.7142857
20/08/2017 20:00,5.51,20,19.1,973.82,0.31,47,214.2857143
20/08/2017 21:00,6.61,21,18.15,973.83,0.76,51,173.1428571
20/08/2017 22:00,7.88,22,17.57,974.04,1.42,55,139.4285714
